Time,Sales,livestock1,livestock2,livestock3,livestock4,livestock5,livestock6,corn1,corn2,corn3,corn4,wheat1,wheat2,wheat3,wheat4,wheat5,hay1,hay2,dairy1,dairy2,dairy3,dairy4,dairy5,dairy6,BRLCSPOT.D7,STRTXOK.D7,FarmIncome,Non-ResidentialInvest,HOUST,RealGDP,Unemploy,Interest_US,ConsumerInflt,30YearMtggRate,ConstructionEm,ConsumerConfidenceI
1990-01-31,505,,79.06,,,,,239.83,229.41,2.31,2.69,402.53,396.76,429.99,3.71,,84.9,93.3,,,,,,15.5,,79.06,46.26,,1551.0,8947.1,5.4,10.11,1.28,9.9,5.42,106.5
1990-02-28,467,,79.04,,,,,241.59,234.97,2.32,2.7,392.28,386.3,412.67,3.56,,85.7,95.2,,,,,,14.5,,79.04,46.26,,1437.0,8947.1,5.3,10.0,1.28,10.2,5.42,106.7
1990-03-31,467,,79.16,,,,,250.58,244.68,2.37,2.72,387.13,377.33,403.26,3.48,,87.5,96.7,,,,,,13.9,,79.16,46.26,,1289.0,8947.1,5.2,10.0,1.29,10.27,5.39,110.6
1990-04-30,593,,79.89,,,,,273.49,263.98,2.51,3.01,383.06,367.06,412.49,3.49,,95.0,103.0,,,,,,13.4,,79.89,46.26,,1248.0,8981.7,5.4,10.0,1.29,10.37,5.36,107.3
1990-05-31,866,,78.28,,,,,284.34,273.86,2.62,3.08,371.44,365.44,389.52,3.4,,96.0,104.0,,,,,,13.5,,78.28,46.26,,1212.0,8981.7,5.4,10.0,1.29,10.48,5.32,107.3
1990-06-30,715,,76.75,,,,,285.51,276.64,2.63,3.05,326.43,332.3,359.68,3.08,,85.0,92.6,,,,,,13.8,,76.75,46.26,,1177.0,8981.7,5.2,10.0,1.3,10.16,5.3,102.4
1990-07-31,591,,75.44,,,,,273.58,267.62,2.62,2.92,304.43,304.6,310.61,2.79,,81.6,89.4,,,,,,14.0,,75.44,46.26,,1171.0,8983.9,5.5,10.0,1.31,10.04,5.27,101.7
1990-08-31,371,,77.63,,,,,251.11,253.33,2.51,2.79,282.64,280.33,288.33,2.58,,81.0,86.3,,,,,,14.2,,77.63,46.26,,1115.0,8983.9,5.7,10.0,1.32,10.1,5.23,84.7
1990-09-30,269,,78.25,,,,,234.14,225.24,2.32,2.59,262.43,266.55,283.09,2.46,,83.2,89.2,,,,,,13.9,,78.25,46.26,,1110.0,8983.9,5.9,10.0,1.33,10.18,5.2,85.6
1990-10-31,778,,79.77,,,,,229.79,217.98,2.19,2.55,262.34,267.67,280.2,2.43,,84.0,90.7,,,,,,13.1,,79.77,46.26,,1014.0,8907.4,5.9,10.0,1.33,10.18,5.13,62.6
1990-11-30,618,,81.16,,,,,226.18,219.45,2.16,2.54,250.46,254.63,278.44,2.39,,80.4,85.7,,,,,,12.7,,81.16,46.26,,1145.0,8907.4,6.2,10.0,1.34,10.01,5.1,61.7
1990-12-31,531,,81.38,,,,,228.7,226.65,2.22,2.6,250.52,254.84,277.86,2.4,,78.7,84.6,,,,,,11.7,,81.38,46.26,,969.0,8907.4,6.3,10.0,1.34,9.67,5.05,61.2
1991-01-31,241,,79.32,,,,,237.52,231.39,2.27,2.68,249.77,254.75,270.8,2.42,,77.9,84.2,,,,,,11.7,,79.32,40.23,,798.0,8865.6,6.4,9.52,1.35,9.64,4.97,55.1
1991-02-28,231,,79.53,,,,,240.36,236.21,2.32,2.7,252.87,254.58,275.95,2.42,,77.8,84.8,,,,,,11.6,,79.53,40.23,,965.0,8865.6,6.6,9.05,1.35,9.37,4.93,59.4
1991-03-31,506,0.51,80.96,,,,,248.33,244.9,2.39,2.77,275.58,276.18,293.94,2.53,,80.5,85.9,,,,,,11.4,0.51,80.96,40.23,,921.0,8865.6,6.8,9.0,1.35,9.5,4.88,81.1
1991-04-30,703,0.52,80.73,,,,,255.55,250.2,2.42,2.8,279.7,282.08,297.97,2.6,,85.5,90.1,,,,,,11.3,0.52,80.73,40.23,,1001.0,8934.4,6.7,9.0,1.35,9.49,4.84,79.4
1991-05-31,765,0.52,78.2,,,,,243.63,240.43,2.38,2.69,283.37,284.98,302.64,2.65,,81.1,86.5,,,,,,11.3,0.52,78.2,40.23,,996.0,8934.4,6.9,8.5,1.36,9.47,4.8,76.4
1991-06-30,576,0.53,74.2,,,,,239.48,233.95,2.31,2.65,286.33,285.46,298.66,2.55,,75.2,80.1,,,,,,11.4,0.53,74.2,40.23,,1036.0,8934.4,6.9,8.5,1.36,9.62,4.78,78.0
1991-07-31,297,0.54,72.36,,,,,238.82,233.64,2.27,2.67,277.85,272.58,290.9,2.5,,71.8,75.4,,,,,,11.8,0.54,72.36,40.23,,1063.0,8977.3,6.8,8.5,1.36,9.58,4.75,77.7
1991-08-31,319,0.54,67.18,,,,,249.42,245.3,2.33,2.79,297.26,297.15,310.2,2.63,,70.8,74.0,,,,,,12.4,0.54,67.18,40.23,,1049.0,8977.3,6.9,8.5,1.37,9.24,4.73,76.1
1991-09-30,296,0.54,69.35,,,,,248.51,238.73,2.33,2.76,324.14,324.24,331.06,2.8,,69.8,72.3,,,,,,12.8,0.54,69.35,40.23,,1015.0,8977.3,6.9,8.2,1.37,9.01,4.73,72.9
1991-10-31,780,0.52,71.14,,,,,250.87,240.78,2.31,2.76,350.35,351.85,363.7,3.07,,68.5,71.2,,,,,,13.5,0.52,71.14,40.23,,1079.0,9016.4,7.0,8.0,1.37,8.86,4.7,60.1
1991-11-30,247,0.5,72.41,,,,,243.45,241.08,2.29,2.72,357.15,359.18,376.24,3.25,,68.2,71.0,,,,,,13.9,0.5,72.41,40.23,,1103.0,9016.4,7.0,7.58,1.38,8.71,4.64,52.7
1991-12-31,522,0.5,70.84,,,,,246.76,241.43,2.33,2.71,384.86,394.48,406.07,3.44,,68.9,72.0,,,,,,13.8,0.5,70.84,40.23,,1079.0,9016.4,7.3,7.21,1.38,8.5,4.65,52.5
1992-01-31,271,0.5,73.92,,,,,258.03,248.82,2.4,2.7,411.41,419.11,435.0,3.54,,68.7,72.3,,,,,,13.4,0.5,73.92,50.71,,1176.0,9123.0,7.3,6.5,1.38,8.43,4.67,50.2
