Time,Sales,corn1,hay2,ConstructionEm,wheat4,HOUST
1990-01-31,505,239.83,93.3,5.42,3.71,1551.0
1990-02-28,467,241.59,95.2,5.42,3.56,1437.0
1990-03-31,467,250.58,96.7,5.39,3.48,1289.0
1990-04-30,593,273.49,103.0,5.36,3.49,1248.0
1990-05-31,866,284.34,104.0,5.32,3.4,1212.0
1990-06-30,715,285.51,92.6,5.3,3.08,1177.0
1990-07-31,591,273.58,89.4,5.27,2.79,1171.0
1990-08-31,371,251.11,86.3,5.23,2.58,1115.0
1990-09-30,269,234.14,89.2,5.2,2.46,1110.0
1990-10-31,778,229.79,90.7,5.13,2.43,1014.0
1990-11-30,618,226.18,85.7,5.1,2.39,1145.0
1990-12-31,531,228.7,84.6,5.05,2.4,969.0
1991-01-31,241,237.52,84.2,4.97,2.42,798.0
1991-02-28,231,240.36,84.8,4.93,2.42,965.0
1991-03-31,506,248.33,85.9,4.88,2.53,921.0
1991-04-30,703,255.55,90.1,4.84,2.6,1001.0
1991-05-31,765,243.63,86.5,4.8,2.65,996.0
1991-06-30,576,239.48,80.1,4.78,2.55,1036.0
1991-07-31,297,238.82,75.4,4.75,2.5,1063.0
1991-08-31,319,249.42,74.0,4.73,2.63,1049.0
1991-09-30,296,248.51,72.3,4.73,2.8,1015.0
1991-10-31,780,250.87,71.2,4.7,3.07,1079.0
1991-11-30,247,243.45,71.0,4.64,3.25,1103.0
1991-12-31,522,246.76,72.0,4.65,3.44,1079.0
1992-01-31,271,258.03,72.3,4.67,3.54,1176.0
1992-02-29,209,264.5,74.5,4.61,3.78,1250.0
1992-03-31,484,267.42,72.9,4.62,3.72,1297.0
1992-04-30,413,253.25,73.7,4.6,3.65,1099.0
1992-05-31,342,254.86,84.0,4.61,3.64,1214.0
1992-06-30,310,255.6,80.4,4.58,3.43,1145.0
1992-07-31,180,232.36,73.7,4.57,3.15,1139.0
1992-08-31,179,219.2,75.4,4.58,3.01,1226.0
1992-09-30,168,221.02,73.4,4.58,3.2,1186.0
1992-10-31,498,208.9,73.7,4.6,3.22,1244.0
1992-11-30,342,211.83,74.9,4.61,3.29,1214.0
1992-12-31,323,212.73,77.2,4.63,2.96,1227.0
1993-01-31,313,217.66,79.8,4.66,3.37,1210.0
1993-02-28,228,212.32,82.4,4.71,3.33,1210.0
1993-03-31,367,219.05,84.8,4.68,3.3,1083.0
1993-04-30,613,228.7,86.9,4.69,3.26,1258.0
1993-05-31,358,225.95,95.4,4.75,3.11,1260.0
1993-06-30,346,218.08,88.0,4.76,2.84,1280.0
1993-07-31,208,236.56,84.0,4.78,2.85,1254.0
1993-08-31,231,237.34,85.2,4.81,2.96,1300.0
1993-09-30,277,235.89,87.1,4.82,3.1,1343.0
1993-10-31,555,248.6,88.9,4.87,3.25,1392.0
1993-11-30,645,273.82,87.8,4.89,3.47,1376.0
1993-12-31,698,289.55,89.7,4.93,3.63,1533.0
1994-01-31,356,302.13,90.5,4.94,3.58,1272.0
1994-02-28,247,291.03,93.2,4.92,3.6,1337.0
1994-03-31,594,280.29,95.6,4.99,3.7,1564.0
1994-04-30,574,266.72,100.0,5.05,3.56,1465.0
1994-05-31,364,263.98,106.0,5.08,3.43,1526.0
1994-06-30,296,267.74,94.3,5.1,3.21,1409.0
1994-07-31,259,230.11,88.0,5.13,3.04,1439.0
1994-08-31,218,219.21,89.9,5.14,3.25,1450.0
1994-09-30,268,219.31,89.5,5.18,3.57,1474.0
1994-10-31,582,215.95,91.6,5.18,3.76,1450.0
1994-11-30,473,215.7,92.5,5.21,3.75,1511.0
1994-12-31,550,221.27,92.5,5.23,3.74,1455.0
1995-01-31,366,232.46,89.0,5.23,3.69,1407.0
1995-02-28,452,233.41,89.0,5.19,3.61,1316.0
1995-03-31,655,241.71,89.0,5.24,3.52,1249.0
1995-04-30,810,248.66,89.4,5.25,3.48,1267.0
1995-05-31,507,256.31,94.8,5.22,3.67,1314.0
1995-06-30,258,272.76,89.5,5.25,3.84,1281.0
1995-07-31,216,286.91,88.2,5.26,4.1,1461.0
1995-08-31,265,283.05,87.4,5.29,4.26,1416.0
1995-09-30,316,299.18,85.4,5.32,4.53,1369.0
1995-10-31,749,322.86,85.8,5.35,4.72,1369.0
