Time,Sales,livestock4_steers,livestock5_hog,livestock6_hog,corn1,corn3,wheat1,wheat2,wheat3,wheat4,hay2,dairy1,dairy2,dairy3,dairy5,dairy6,BRLCS_broilers,STRTXOK_beef_steers,FarmIncome,Non-ResidentialInvest,HOUST,RealGDP,Unemploy,Interest_US,ConsumerInflt,30YearMtggRate,ConstructionEm,ConsumerConfidenceI,livestock1_broilers_isNA,livestock2_beef_steers_isNA,livestock3_steers_isNA,livestock4_steers_isNA,livestock5_hog_isNA,livestock6_hog_isNA,wheat5_isNA,dairy1_isNA,dairy2_isNA,dairy3_isNA,dairy4_isNA,dairy5_isNA,BRLCS_broilers_isNA,STRTXOK_beef_steers_isNA,Non-ResidentialInvest_isNA
1999-01-31,335,75.6,16.62,14.55,216.71,2.06,246.32,276.88,326.29,2.84,81.4,0.22,1.07,17.14,13.12,17.4,0.59,61.38,47.72,1459.0,1748.0,11864.7,4.3,7.75,1.65,6.79,6.36,128.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-02-28,308,79.14,28.58,15.43,214.38,2.05,227.46,258.16,304.57,2.73,83.7,0.19,1.04,17.64,12.78,15.2,0.58,63.0,47.72,1459.0,1670.0,11864.7,4.4,7.75,1.65,6.81,6.43,133.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-03-31,395,81.14,28.25,18.41,219.86,2.06,235.65,268.1,303.12,2.65,83.2,0.19,1.02,16.57,12.36,15.2,0.57,64.83,47.72,1459.0,1710.0,11864.7,4.2,7.75,1.65,7.04,6.4,134.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-04-30,571,82.73,31.69,19.49,217.95,2.04,231.43,261.15,294.25,2.62,86.4,0.19,1.01,10.57,11.06,12.6,0.55,65.2,47.72,1497.3,1553.0,11962.5,4.3,7.75,1.66,6.92,6.48,135.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-05-31,367,81.08,38.45,25.28,217.89,1.99,224.46,254.01,288.89,2.49,91.0,0.17,1.01,11.92,11.62,12.8,0.6,65.0,47.72,1497.3,1611.0,11962.5,4.2,7.75,1.66,7.15,6.52,137.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-06-30,266,82.0,35.39,24.29,217.41,1.97,219.78,254.88,293.01,2.5,82.8,0.17,1.0,12.11,13.29,13.1,0.61,66.0,47.72,1497.3,1559.0,11962.5,4.3,7.75,1.66,7.55,6.55,139.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-07-31,195,84.24,32.84,16.22,191.99,1.74,194.36,243.73,267.67,2.22,83.4,0.17,1.01,11.56,12.37,13.8,0.6,64.38,47.72,1539.3,1669.0,12113.1,4.3,8.0,1.67,7.63,6.57,136.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-08-31,133,81.85,38.56,18.65,213.58,1.75,208.84,271.05,285.28,2.53,84.9,0.18,1.01,11.72,12.62,15.0,0.58,65.0,47.72,1539.3,1648.0,12113.1,4.2,8.06,1.67,7.94,6.59,136.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-09-30,232,83.2,35.71,19.9,206.49,1.75,211.69,271.38,292.39,2.58,79.8,0.19,1.02,13.89,12.37,15.7,0.57,65.8,47.72,1539.3,1635.0,12113.1,4.2,8.25,1.68,7.82,6.61,134.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-10-31,421,82.03,35.84,19.73,201.25,1.69,198.19,259.08,279.67,2.57,79.4,0.2,1.02,16.09,11.78,14.9,0.55,69.29,47.72,1544.9,1608.0,12323.3,4.1,8.25,1.68,7.85,6.64,130.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
